"message,"date-time","tick"
"Secret body elaborated","2021-01-26 17:19:27.532123","1611677967.532123"
"Secret elaborated","2021-01-26 17:19:27.532123","1611677967.532123"
"Converted array into csv","2021-01-26 17:19:27.532123","1611677967.532123"
"Converted array into csv","2021-01-26 17:19:27.532123","1611677967.532123"
"Converted array into csv","2021-01-26 17:19:27.532123","1611677967.532123"
"Converted array into csv","2021-01-26 17:19:27.532123","1611677967.532123"
"Writed outputs","2021-01-26 17:19:27.532123","1611677967.532123"
"End","2021-01-26 17:19:27.532123","1611677967.532123"
"Start","2021-01-26 17:19:32.505068","1611677972.505068"
"Log inizialized","2021-01-26 17:19:32.505068","1611677972.505068"
"Readed configuration file","2021-01-26 17:19:32.505068","1611677972.505068"
"Converted csv into array","2021-01-26 17:19:32.505068","1611677972.505068"
"Converted csv into array","2021-01-26 17:19:32.505068","1611677972.505068"
"Readed input(s) file","2021-01-26 17:19:32.505068","1611677972.505068"
"Converted csv into array","2021-01-26 17:19:32.505068","1611677972.505068"
"Load users IDs","2021-01-26 17:19:32.505068","1611677972.505068"
"Getted all position where delete","2021-01-26 17:19:32.505068","1611677972.505068"
"Secret header elaborated","2021-01-26 17:19:32.505068","1611677972.505068"
"Secret body elaborated","2021-01-26 17:19:32.505068","1611677972.505068"
"Secret elaborated","2021-01-26 17:19:32.505068","1611677972.505068"
"Converted array into csv","2021-01-26 17:19:32.505068","1611677972.505068"
"Converted array into csv","2021-01-26 17:19:32.505068","1611677972.505068"
"Converted array into csv","2021-01-26 17:19:32.505068","1611677972.505068"
"Converted array into csv","2021-01-26 17:19:32.505068","1611677972.505068"
"Writed outputs","2021-01-26 17:19:32.505068","1611677972.505068"
"End","2021-01-26 17:19:32.505068","1611677972.505068"
"Start","2021-01-26 17:19:48.649198","1611677988.649198"
"Log inizialized","2021-01-26 17:19:48.649198","1611677988.649198"
"Readed configuration file","2021-01-26 17:19:48.649198","1611677988.649198"
"Converted csv into array","2021-01-26 17:19:48.649198","1611677988.649198"
"Converted csv into array","2021-01-26 17:19:48.649198","1611677988.649198"
"Readed input(s) file","2021-01-26 17:19:48.649198","1611677988.649198"
"Converted csv into array","2021-01-26 17:19:48.649198","1611677988.649198"
"Load users IDs","2021-01-26 17:19:48.649198","1611677988.649198"
"Getted all position where delete","2021-01-26 17:19:48.649198","1611677988.649198"
"Secret header elaborated","2021-01-26 17:19:48.649198","1611677988.649198"
