#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Hostname","ClientId","IPAddress"
"WKS0867.marconi.edu","e0-18-77-c3-09-70","172.16.3.99"
"WKS0869.marconi.edu","54-ee-75-e9-c6-94","172.16.3.101"
"WKS0870.marconi.edu","54-ee-75-e9-8a-2c","172.16.3.102"
"WKS0871.marconi.edu","a0-66-10-09-e2-8c","172.16.3.103"
"WKS0873.marconi.edu","74-2b-62-ec-d7-4a","172.16.3.105"
"WKS0874.marconi.edu","e0-18-77-c1-c5-d1","172.16.3.106"
"WKS0876.marconi.edu","8c-73-6e-ba-62-0e","172.16.3.108"
"WKS0878.marconi.edu","74-2b-62-f4-12-90","172.16.3.110"
"WKS0879.marconi.edu","74-2b-62-ed-33-a9","172.16.3.111"
"WKS0880.marconi.edu","e8-6a-64-aa-f7-d9","172.16.3.112"
"WKS0881.marconi.edu","74-2b-62-ec-f0-6f","172.16.3.113"
"WKS0882.marconi.edu","a0-66-10-09-e1-b5","172.16.3.114"
"WKS0883.marconi.edu","e0-18-77-c1-5b-20","172.16.3.115"
"WKS0884.marconi.edu","74-2b-62-f3-dc-85","172.16.3.116"
"WKS0885.marconi.edu","5c-9a-d8-68-be-53","172.16.3.117"
"WKS0886.marconi.edu","a0-66-10-09-e1-e1","172.16.3.118"
"WKS0887.marconi.edu","e0-18-77-c9-a9-12","172.16.3.119"
"WKS0888.marconi.edu","e8-6a-64-b9-b1-84","172.16.3.120"
"WKS0890.marconi.edu","54-ee-75-eb-74-0c","172.16.3.122"
"WKS0891.marconi.edu","a0-66-10-09-de-ff","172.16.3.123"
"WKS0892.marconi.edu","e0-18-77-c3-1d-b5","172.16.3.124"
"WKS0893.marconi.edu","a0-66-10-09-e2-7f","172.16.3.125"
"WKS0894.marconi.edu","74-2b-62-ed-3b-6d","172.16.3.126"
"WKS0896.marconi.edu","54-ee-75-e9-c5-17","172.16.3.128"
"WKS0897.marconi.edu","e0-18-77-c0-c9-58","172.16.3.129"
"WKS0898.marconi.edu","8c-73-6e-bb-8c-fa","172.16.3.130"
"WKS0899.marconi.edu","a0-66-10-09-e1-a4","172.16.3.131"
"WKS0900.marconi.edu","8c-73-6e-bc-b2-9c","172.16.3.132"
"WKS0901.marconi.edu","74-2b-62-ed-40-2a","172.16.3.133"
"WKS0902.marconi.edu","74-2b-62-f3-f9-9f","172.16.3.134"
"WKS0903.marconi.edu","74-2b-62-f4-27-83","172.16.3.135"
"WKS0904.marconi.edu","e0-18-77-bd-51-70","172.16.3.136"
"WKS0905.marconi.edu","74-2b-62-f3-fb-de","172.16.3.137"
"WKS0906.marconi.edu","74-2b-62-f3-f1-a8","172.16.3.138"
"WKS0907.marconi.edu","74-2b-62-ed-22-48","172.16.3.139"
"WKS0910.marconi.edu","8c-73-6e-bc-ad-15","172.16.3.142"
"WKS0911.marconi.edu","54-ee-75-eb-71-3d","172.16.3.143"
"WKS0912.marconi.edu","e0-18-77-c1-24-fb","172.16.3.144"
"WKS0914.marconi.edu","8c-73-6e-bc-b1-de","172.16.3.146"
"WKS0915.marconi.edu","54-ee-75-e9-8e-de","172.16.3.147"
"WKS0916.marconi.edu","8c-73-6e-bc-a9-f1","172.16.3.148"
"WKS0917.marconi.edu","e0-18-77-c9-8c-cc","172.16.3.149"
"WKS0918.marconi.edu","e8-6a-64-b5-56-b6","172.16.3.150"
"WKS0919.marconi.edu","74-2b-62-ed-5d-a0","172.16.3.151"
"WKS0920.marconi.edu","8c-73-6e-bc-b8-05","172.16.3.152"
"WKS0921.marconi.edu","a0-66-10-09-e0-0d","172.16.3.153"
"WKS0922.marconi.edu","e0-18-77-c9-b1-ad","172.16.3.154"
"WKS0923.marconi.edu","e0-18-77-c9-ae-34","172.16.3.155"
"WKS0924.marconi.edu","e0-18-77-c9-b5-63","172.16.3.156"
"WKS0926.marconi.edu","54-ee-75-e9-8e-24","172.16.3.158"
"WKS0927.marconi.edu","74-2b-62-ed-0f-a1","172.16.3.159"
"WKS0928.marconi.edu","54-ee-75-e9-c6-83","172.16.3.160"
"WKS0930.marconi.edu","74-2b-62-f4-0c-b1","172.16.3.162"
"WKS0931.marconi.edu","74-2b-62-ec-dd-b3","172.16.3.163"
"WKS0932.marconi.edu","74-2b-62-ed-5f-4e","172.16.3.164"
"WKS0936.marconi.edu","8c-73-6e-bc-9f-df","172.16.3.168"
"WKS0938.marconi.edu","74-2b-62-f4-a3-f4","172.16.3.170"
"WKS0939.marconi.edu","74-2b-62-ec-c3-5e","172.16.3.171"
"WKS0941.marconi.edu","e0-18-77-bd-5f-27","172.16.3.173"
"WKS0943.marconi.edu","74-2b-62-f3-f9-94","172.16.3.175"
"WKS0944.marconi.edu","54-ee-75-dd-2c-24","172.16.3.176"
"WKS0945.marconi.edu","2c-d4-44-91-81-b1","172.16.3.177"
"WKS0947.marconi.edu","74-2b-62-ec-f0-69","172.16.3.179"
"WKS0948.marconi.edu","a0-66-10-09-e3-3e","172.16.3.180"
"WKS0949.marconi.edu","8c-73-6e-ba-89-f2","172.16.3.181"
"WKS0950.marconi.edu","8c-73-6e-bc-c1-d6","172.16.3.182"
"WKS0952.marconi.edu","74-2b-62-ed-45-17","172.16.3.184"
"WKS0953.marconi.edu","54-ee-75-e9-88-f2","172.16.3.185"
"WKS0954.marconi.edu","e8-6a-64-aa-ef-2d","172.16.3.186"
"WKS0955.marconi.edu","e0-18-77-c9-b9-22","172.16.3.187"
"WKS0956.marconi.edu","a0-66-10-09-df-63","172.16.3.188"
