PCname,User,Category,Type,CategoryString,EventCode,EventIdentifier,EventType,Logfile,RecordNumber,Date_local,Date_universal_microsecond
"localhost","None","0","Error","None","100","100","1","Application","78774","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78773","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78772","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78771","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78770","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78769","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78768","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78767","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78766","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","DAVIDECASTELLAN\Davide Castellani","0","Error","None","2004","2004","1","Application","78745","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","DAVIDECASTELLAN\Davide Castellani","0","Error","None","2004","2004","1","Application","78733","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","100","Error","Application Crashing Events","1000","1000","1","Application","78341","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","1026","1026","1","Application","78340","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","100","Error","Application Crashing Events","1000","1000","1","Application","78337","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","1026","1026","1","Application","78336","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","1","Error","Gestore virtualizzazione client","100","1073741924","1","Application","78284","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","101","Error","None","1002","1002","1","Application","78263","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78230","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78229","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78228","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78227","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78226","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78225","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78224","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78223","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78220","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78219","2020-12-12 20:43:54.948285","1607802234.948285"
